state,Year,crop_type,planted_area,production,yield
Kedah,2019,spices,548.2,1302.6,2.376
Kedah,2020,spices,577.9,971.5,1.681
Kedah,2021,spices,351.6,965.3,2.745
Kedah,2022,spices,419.9,2166.5,5.16
Kedah,2017,vegetables,1691.9,17111.7,10.114
Kedah,2018,vegetables,1345.9,14115,10.487
Kedah,2019,vegetables,1631.3,16823.1,10.313
Kedah,2020,vegetables,1555,12790.5,8.225
Kedah,2021,vegetables,1317.8,12909.6,9.796
Kedah,2022,vegetables,1051.2,15812.1,15.042
Kelantan,2017,cash_crops,1099.7,13133.7,11.943
Kelantan,2018,cash_crops,1239.1,14079,11.362
Kelantan,2019,cash_crops,1469.4,16657.5,11.336
Kelantan,2020,cash_crops,1727,20770.6,12.027
Kelantan,2021,cash_crops,1666.6,20735.8,12.442
Kelantan,2022,cash_crops,1597.7,18574.6,11.626
Kelantan,2017,coconut,7115.7,60008.6,8.433
Kelantan,2018,coconut,9542.1,73676,7.721
Kelantan,2019,coconut,9978.7,77807.1,7.797
Kelantan,2020,coconut,10398.9,79953.4,7.689
Kelantan,2021,coconut,10340.3,76673.8,7.415
Kelantan,2022,coconut,11435.6,77467,6.774
Kelantan,2017,flower,34.9,4695479,134540.946
Kelantan,2018,flower,35.6,4779998,134269.607
Kelantan,2019,flower,36.2,4870818,134552.983
Kelantan,2020,flower,35.2,3711563,105442.131
Kelantan,2021,flower,35.6,3958011,111180.084
Kelantan,2022,flower,35.9,4013423,111794.513
Kelantan,2017,fruits,17263.5,88107.3,5.104
Kelantan,2018,fruits,18880.6,132629.3,7.025
Kelantan,2019,fruits,19573.3,139396.2,7.122
Kelantan,2020,fruits,20712.3,141461.8,6.83
Kelantan,2021,fruits,19759.7,145161.2,7.346
Kelantan,2022,fruits,21326.5,134277.4,6.296
Kelantan,2017,herbs,122.8,645.2,5.254
Kelantan,2018,herbs,129.7,969.1,7.472
Kelantan,2019,herbs,135.7,793.8,5.85
Kelantan,2020,herbs,160.3,802,5.003
Kelantan,2021,herbs,133.5,709.7,5.316
Kelantan,2022,herbs,161.8,786.4,4.86
Kelantan,2017,industrial_crops,7274.4,60592.7,8.33
Kelantan,2018,industrial_crops,10048.1,74053.1,7.37
Kelantan,2019,industrial_crops,10391.3,78301.7,7.535
Kelantan,2020,industrial_crops,10863.9,80897.9,7.446
Kelantan,2021,industrial_crops,10466.6,77236,7.379
Kelantan,2022,industrial_crops,11593.7,78070.5,6.734
Kelantan,2017,paddy,74531,309582,4.154
Kelantan,2018,paddy,74149,319774,4.313
Kelantan,2019,paddy,71240,268831,3.774
Kelantan,2020,paddy,73717,305675,4.147
Kelantan,2021,paddy,74972,333868,4.453
Kelantan,2022,paddy,74017,272633,3.683
Kelantan,2017,spices,607.5,4399.3,7.242
Kelantan,2018,spices,571.8,4462.1,7.804
Kelantan,2019,spices,569.3,4157.2,7.302
Kelantan,2020,spices,514.4,4903.1,9.532
Kelantan,2021,spices,532.7,4428.4,8.313
Kelantan,2022,spices,583,4730.9,8.115
Kelantan,2017,vegetables,3808.9,116909.8,30.694
Kelantan,2018,vegetables,4311.6,125499.9,29.108
Kelantan,2019,vegetables,4639.5,132188.2,28.492
Kelantan,2020,vegetables,4511.6,128327.4,28.444
Kelantan,2021,vegetables,4640.7,132052.7,28.455
Kelantan,2022,vegetables,4892.1,137912.7,28.191
Malacca,2017,cash_crops,551.2,5457.2,9.901
Malacca,2018,cash_crops,495.5,3828.3,7.726
Malacca,2019,cash_crops,387.6,3192.5,8.237
Malacca,2020,cash_crops,314.9,2546.6,8.087
Malacca,2021,cash_crops,558.7,2882.3,5.159
Malacca,2022,cash_crops,398.4,3120,7.831
Malacca,2017,coconut,1455.9,10393.5,7.139
Malacca,2018,coconut,1779.8,10972.9,6.165
Malacca,2019,coconut,1530.3,9195.8,6.009
Malacca,2020,coconut,2923.4,19376.2,6.628
Malacca,2021,coconut,2189.3,14040.2,6.413
Malacca,2022,coconut,3013.8,20659.9,6.855
Malacca,2017,flower,33.9,639502,18864.366
Malacca,2018,flower,34.5,651013,18869.942
Malacca,2019,flower,35.2,663382,18846.08
Malacca,2020,flower,34.2,505497,14780.614
Malacca,2021,flower,38.3,647085,16895.17
Malacca,2022,flower,38,643850,16943.421
Malacca,2017,fruits,3587.7,31383.1,8.747
Malacca,2018,fruits,3328.9,23245.4,6.983
Malacca,2019,fruits,3025.4,15435.1,5.102
Malacca,2020,fruits,4539.8,24708,5.443
Malacca,2021,fruits,2861.9,19133.9,6.686
Malacca,2022,fruits,5631.5,28518.7,5.064
Malacca,2017,herbs,26.5,235.3,8.879
Malacca,2018,herbs,9.3,103.1,11.086
Malacca,2019,herbs,3.4,58.7,17.265
Malacca,2020,herbs,12.4,53.8,4.339
Malacca,2021,herbs,5.3,61.7,11.642
Malacca,2022,herbs,14.4,59.3,4.118
Malacca,2017,industrial_crops,1478.2,10511.2,7.111
Malacca,2018,industrial_crops,1806.3,11106.7,6.149
Malacca,2019,industrial_crops,1565.2,9351.9,5.975
Malacca,2020,industrial_crops,2958.3,19699.8,6.659
Malacca,2021,industrial_crops,2227.4,14265.1,6.404
Malacca,2022,industrial_crops,3065.4,20882.7,6.812
Malacca,2017,paddy,3510,12135,3.457
Malacca,2018,paddy,3135,9352,2.983
Malacca,2019,paddy,3360,9323,2.775
Malacca,2020,paddy,3360,8550,2.545
Malacca,2021,paddy,3462,10287,2.971
Malacca,2022,paddy,3318,10314,3.108
Malacca,2017,spices,85.4,1348.9,15.795
Malacca,2018,spices,128.7,1063.4,8.263
Malacca,2019,spices,122.9,659.2,5.364
Malacca,2020,spices,135.3,705.9,5.217
Malacca,2021,spices,62.1,460.2,7.411
Malacca,2022,spices,102.2,798.9,7.817
Malacca,2017,vegetables,1350.3,17606.3,13.039
Malacca,2018,vegetables,1246.5,17948.3,14.399
Malacca,2019,vegetables,1059.3,15062.4,14.219
Malacca,2020,vegetables,940.6,13222.4,14.057
Malacca,2021,vegetables,769.2,10940.5,14.223
Malacca,2022,vegetables,748.5,12181.4,16.274
Negeri Sembilan,2017,cash_crops,303.3,3630.6,11.97
Negeri Sembilan,2018,cash_crops,407.3,4153.5,10.198
Negeri Sembilan,2019,cash_crops,437.9,4919.1,11.233
Negeri Sembilan,2020,cash_crops,289.8,3621.6,12.497
Negeri Sembilan,2021,cash_crops,432.1,5200.8,12.036
Negeri Sembilan,2022,cash_crops,446.4,5315.4,11.907
Negeri Sembilan,2017,coconut,1476.2,11932.1,8.083
